,adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,softcore,name,vote_average,vote_count
82,False,/fWJjsS2Tr2dlpYuw3o7Lifvgkru.jpg,"[10759, 18]",232766,['KR'],ko,광장,"After severing ties with his gang, a former gangster returns to uncover the truth behind his brother's death — embarking on a relentless path of revenge.",12.876,/AjL335mFBe7LgCqo3w0RNBSbbZU.jpg,2025-06-06,False,Mercy for None,7.865,189
83,False,/svnZYhAboLrwHEtkKRm2mIdjocB.jpg,"[18, 35]",229891,['KR'],ko,이 사랑 통역 되나요?,The emotions of a celebrity and her interpreter get lost in translation as they travel the world filming a TV show. Will love find its own language?,12.8688,/zgUh4cgalSzBjbsT5P0qmU7Rjzk.jpg,2026-01-16,False,Can This Love Be Translated?,8.4,158
84,False,/nRxbtO6OchyepUL2Zr4dpMZsdsX.jpg,"[35, 18]",280948,['KR'],ko,스프링 피버,"After moving to a quiet rural town to heal from past heartbreak, a withdrawn teacher slowly rediscovers warmth and joy through her unexpected connection with a rough-around-the-edges but kindhearted local man.",12.8531,/50e9qtv8rKmcayAQSgB9P9XELpQ.jpg,2026-01-05,False,Spring Fever,8.1,73
85,False,/vYI0LTxZLpxh5D8tVHzbclV6lXg.jpg,[18],321293,['KR'],ko,과녁 너머의 너,"Archery champion Lee Junhyung reunites with his first love, Ahn Siwoo — the one who had no choice but to leave him six years ago, for his sake. Torn between love and hatred, Junhyung keeps Siwoo close, tormenting him as a way to settle old wounds. But the moment he learns the painful truth Siwoo had carried alone all those years, he is consumed by deep regret and guilt. In the end, the two run back toward each other once more — and pick up the thread of a bond they thought was severed forever.",12.8356,/4rrf1K9wHcCQXcj28go54IUAsUg.jpg,2026-08-27,False,Eyes on You,9.0,1
86,False,/4IzdfRrxgbvtnE0ZBNEjlcFcxgc.jpg,"[18, 35]",96462,['KR'],ko,사이코지만 괜찮아,"Desperate to escape from his emotional baggage and the heavy responsibility he’s had all his life, a psychiatric ward worker begins to heal with help from the unexpected – a woman who writes fairy tales but doesn’t believe in them.",12.7608,/8XSJfLeImX8NszDUFnK1lbseCi8.jpg,2020-06-20,False,It's Okay to Not Be Okay,8.503,1515
87,False,/pefCiIoIrWglxwpoqIdnhL0IlGZ.jpg,"[18, 10768]",61148,['KR'],ko,기황후,"A woman born in Korea navigates her way through love, war, politics and national loyalties to become a powerful empress in China's Yuan dynasty.",12.628,/cH9PMmBkhtVMlCdi8fgvMqekNKi.jpg,2013-10-28,False,Empress Ki,7.269,65
88,False,/epq6I0AwVaHldCrQ6xJ5ZsAyHCF.jpg,"[10765, 18, 35]",90447,['KR'],ko,호텔 델루나,"When he's invited to manage a hotel for dead souls, an elite hotelier gets to know the establishment's ancient owner and her strange world.",12.6221,/8bizZsXoAsOTbhyFKfBogC8mgG2.jpg,2019-07-12,False,Hotel Del Luna,8.512,640
89,False,/2ds9EWX7cwGfZiRjYqhyw7SbzsW.jpg,"[10765, 35, 18]",228689,['KR'],ko,다 이루어질지니,"After a thousand years, a quirky genie returns to grant wishes to a woman born without feelings. Can his magic bring love and wonder to her world?",12.5597,/opop2u7Jav6lMNL8fSBTzOeFBDz.jpg,2025-10-03,False,"Genie, Make a Wish",7.9,137
90,False,/rwvpB0kuOCBCEtCs344sjkeVnJp.jpg,"[80, 10759, 18]",210704,['KR'],ko,최악의 악,"Set in the 1980s, a husband and wife, both detectives, infiltrate a massive criminal organization responsible for the illegal drug trade between Korea, China, and Japan.",12.5544,/uZJGMFgE1Q9xpncVAu1G3Vce4nP.jpg,2023-09-27,False,The Worst of Evil,8.403,88
91,False,/2u9M2WTPM6Olqh3JO0tt0OmmJnB.jpg,"[35, 18]",136732,['KR'],ko,별똥별,Frustrations and feelings collide when a dynamic PR executive finds herself working with her irksome nemesis — who happens to be a megastar client.,12.5186,/ghAi885f6298pGW8aCLvl4Xjnc8.jpg,2022-04-22,False,Sh**ting Stars,8.1,106
